"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","A Realm Reborn","fin","Near Mint","English","foil","","2026-01-03 19:33:47.777000","566","False","False","108.68"
"1","1","Aang, Airbending Master","tle","Near Mint","English","","","2026-03-07 14:11:52.470000","74","False","True",""
"1","1","Aang, at the Crossroads // Aang, Destined Savior","tla","Near Mint","English","","","2026-01-03 15:47:18.680000","203","False","False",""
"1","1","Aang, Swift Savior // Aang and La, Ocean's Fury","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","204","False","False","35.63"
"1","1","Aang, the Last Airbender","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","4","False","False","0.75"
"1","1","Aang's Iceberg","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","336","False","False","6.72"
"1","1","Aang's Iceberg","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","5","False","False","3.36"
"3","3","Aang's Journey","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","1","False","False","0.67"
"4","4","Abandon Attachments","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","205","False","False","1.57"
"1","1","Abandoned Air Temple","tla","Near Mint","English","","","2026-01-20 19:31:16.227000","263","False","True",""
"1","1","Abrade","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","203","False","False","0.90"
"1","1","Abrade","tdc","Near Mint","English","","","2025-12-25 18:47:35.310000","203","False","False",""
"1","1","Abrade","tdc","Near Mint","English","","","2025-04-08 16:09:19.083000","203","False","False",""
"1","1","Abrade","blc","Near Mint","English","","","2025-12-25 18:44:52.140000","191","False","False",""
"1","1","Absolute Virtue","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","212","False","False","14.86"
"1","1","Absolute Virtue","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","212","False","False","14.86"
"1","1","Abstruse Appropriation","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","177","False","False","1.42"
"1","1","Abuelo, Ancestral Echo","lci","Near Mint","English","","","2026-02-23 08:09:10.230000","219","False","True",""
"2","2","Abundant Harvest","cmm","Near Mint","English","","","2026-03-01 15:11:23.657000","269","False","False","0.67"
"2","2","Academy Ruins","drc","Near Mint","English","","","2026-03-08 12:49:34.670000","58","False","True",""
"1","1","Access Tunnel","mkc","Near Mint","English","","","2026-03-05 19:30:33.273000","247","False","False","3.06"
"1","1","Accumulate Wisdom","tla","Near Mint","English","","","2026-01-02 19:17:04.463000","44","False","False","11.50"
"1","1","Accursed Duneyard","drc","Near Mint","English","","","2025-04-08 17:35:21.267000","20","False","False",""
"2","2","Accursed Duneyard","drc","Near Mint","English","","","2025-12-25 18:47:26.150000","20","False","False",""
"4","4","Accursed Marauder","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","80","False","False","2.17"
"1","1","Accursed Marauder","mh3","Near Mint","English","","","2026-03-05 19:30:33.273000","80","False","False","2.09"
"1","1","Adaptive Training Post","tdc","Near Mint","English","","","2025-04-08 16:09:19.083000","18","False","False",""
"1","1","Adaptive Training Post","tdc","Near Mint","English","","","2025-12-25 18:47:35.310000","18","False","False",""
"1","1","Adarkar Wastes","tdc","Near Mint","English","","","2025-12-25 18:47:35.310000","338","False","False",""
"2","2","Adarkar Wastes","drc","Near Mint","English","","","2025-12-25 18:47:26.150000","144","False","False",""
"1","1","Adarkar Wastes","blc","Near Mint","English","","","2025-12-25 18:44:26.810000","291","False","False",""
"1","1","Adarkar Wastes","m3c","Near Mint","English","","","2025-04-08 16:12:26.480000","316","False","False",""
"1","1","Adarkar Wastes","m3c","Near Mint","English","","","2025-12-25 18:47:18.820000","316","False","False",""
"1","1","Adarkar Wastes","drc","Near Mint","English","","","2025-04-08 17:35:21.267000","144","False","False",""
"2","2","Adarkar Wastes","tdc","Near Mint","English","","","2026-03-07 12:56:08.723000","338","False","True",""
"1","1","Adarkar Wastes","tdc","Near Mint","English","","","2025-04-08 16:09:19.083000","338","False","False",""
"1","1","Adelbert Steiner","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","3","False","False","0.60"
"1","1","Adelbert Steiner","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","3","False","False","0.60"
"1","1","Adeline, Resplendent Cathar","mid","Near Mint","English","","","2026-03-06 07:19:40.293000","1","False","True",""
"1","1","Adriana, Captain of the Guard","dmc","Near Mint","English","","","2026-03-06 07:21:54.790000","139","False","True",""
"3","3","Adventurer's Airship","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","252","False","False","0.35"
"1","1","Adventurer's Airship","fin","Near Mint","English","foil","","2026-02-12 19:00:18.123000","252","False","False","0.60"
"1","1","Adventurer's Airship","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","252","False","False","0.30"
"2","2","Adventurer's Inn","fin","Near Mint","English","","","2026-01-03 19:33:47.777000","271","False","False","0.67"
"3","3","Adventurer's Inn","fin","Near Mint","English","","","2026-02-12 19:00:18.123000","271","False","False","0.65"
"2","2","Aerie Auxiliary","mh3","Near Mint","English","","","2026-04-02 19:47:27.573000","18","False","False","0.75"
